"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Current","Sheep","Adult","Feed Cost",45817013247.8914,5785000840.74527,34797763686.1758,57454226687.5162
"Current","Sheep","Adult","Gross Margin",39228169067.0055,28138755514.4316,-15623029591.1901,93187901431.4791
"Current","Sheep","Adult","Health Cost",5648808858.8979,757329163.96266,4247769583.43513,7247126046.54259
"Current","Sheep","Adult","Labour Cost",9492342415.31846,865482127.977425,7781620095.13452,11178914711.8251
"Current","Sheep","Adult","Population",2970314.81650148,46661.6608719735,2880741.6363821,3063974.61455998
"Current","Sheep","Adult","Value of Herd Increase",10299576524.3873,6400330459.9677,-1581739053.0621,23699616432.2253
"Current","Sheep","Adult","Value of Manure",2120664419.74835,84655184.7549916,1975934601.09249,2266674823.58483
"Current","Sheep","Adult","Value of Offtake",87714344389.6653,23306017412.4486,41310144769.8214,133004975411.642
"Current","Sheep","Adult Female","Feed Cost",39031120226.0311,5697713050.1327,28202230447.8417,50391593355.0208
"Current","Sheep","Adult Female","Gross Margin",-27259339362.9728,9390090241.02227,-45927812279.9671,-8851709377.31542
"Current","Sheep","Adult Female","Health Cost",4876281896.33038,751523122.775419,3495274624.59134,6447519413.6427
"Current","Sheep","Adult Female","Labour Cost",8194222807.6568,853499401.0246,6509591213.91173,9861096474.14012
"Current","Sheep","Adult Female","Population",2543577.98728616,38986.2937963722,2467492.72853754,2620621.78414858
"Current","Sheep","Adult Female","Value of Herd Increase",-4323464039.56244,2901698388.06067,-10885733661.6704,418722858.029291
"Current","Sheep","Adult Female","Value of Manure",1830727348.18124,83102015.471442,1690786192.86412,1970627599.69883
"Current","Sheep","Adult Female","Value of Offtake",27283274003.1145,8935519473.87177,10621104712.9639,44879348730.124
"Current","Sheep","Adult Male","Feed Cost",6785893021.8603,956965817.911935,4984292480.07345,8728255329.63798
"Current","Sheep","Adult Male","Gross Margin",66487508429.9783,26626146567.3838,13479114571.1242,119315242793.61
"Current","Sheep","Adult Male","Health Cost",772526962.56752,122678207.129971,555322938.685549,1033225052.22995
"Current","Sheep","Adult Male","Labour Cost",1298119607.66166,140231546.098443,1027993198.59376,1570500465.47516
"Current","Sheep","Adult Male","Population",426736.82921532,24136.14175517,379143.570319968,475206.761984982
"Current","Sheep","Adult Male","Value of Herd Increase",14623040563.9498,5713929886.52385,4253597878.58331,26709209171.8395
"Current","Sheep","Adult Male","Value of Manure",289937071.56711,16332084.1871411,260425986.718907,321656643.519536
"Current","Sheep","Adult Male","Value of Offtake",60431070386.5508,21583122406.0764,17929403824.3312,103897653261.441
"Current","Sheep","Juvenile","Feed Cost",5382661197.51762,609634429.9711,4207613681.80873,6613649769.85632
"Current","Sheep","Juvenile","Gross Margin",-8951234870.54173,869061240.535366,-10746744506.204,-7354089745.85681
"Current","Sheep","Juvenile","Health Cost",901042793.07121,99780053.4162007,718674745.973608,1107215934.56583
"Current","Sheep","Juvenile","Labour Cost",1516912814.41472,113579838.624347,1294661614.15838,1740382061.07737
"Current","Sheep","Juvenile","Population",936011.423557024,24847.2282153104,887586.145935301,985564.902789435
"Current","Sheep","Juvenile","Value of Herd Increase",-1375792847.11703,652982482.816874,-2832836260.63094,-288620783.442665
"Current","Sheep","Juvenile","Value of Manure",225174781.578854,8047968.73569553,209981332.03209,240519656.784745
"Current","Sheep","Juvenile","Value of Offtake",0,0,0,0
"Current","Sheep","Juvenile Female","Feed Cost",2040529239.46953,356021766.440334,1384539079.38288,2774701637.57201
"Current","Sheep","Juvenile Female","Gross Margin",-3802409093.67758,458840817.007864,-4735525668.42979,-2944393127.05866
"Current","Sheep","Juvenile Female","Health Cost",459961163.96826,72612519.1796251,331181621.757809,614744829.974175
"Current","Sheep","Juvenile Female","Labour Cost",772194826.256221,80773545.1954391,621931556.640082,930881676.907704
"Current","Sheep","Juvenile Female","Population",473849.224211211,12691.518368579,449439.034874058,498935.530528612
"Current","Sheep","Juvenile Female","Value of Herd Increase",-644392367.729567,292349760.170019,-1294346467.79371,-152574821.918498
"Current","Sheep","Juvenile Female","Value of Manure",114668503.745999,5454319.13905706,105238245.263251,124444506.845636
"Current","Sheep","Juvenile Female","Value of Offtake",0,0,0,0
"Current","Sheep","Juvenile Male","Feed Cost",3342131958.04809,486906067.21879,2417198836.08508,4324596965.55878
"Current","Sheep","Juvenile Male","Gross Margin",-5148825776.86415,679228580.831057,-6584357378.17338,-3926307733.47804
"Current","Sheep","Juvenile Male","Health Cost",441081629.10295,67878492.4314806,321447881.485422,583017294.250961
"Current","Sheep","Juvenile Male","Labour Cost",744717988.158504,78512592.7239167,593001460.470995,896587177.615762
"Current","Sheep","Juvenile Male","Population",462162.199345813,12619.5588406162,437195.289752143,487048.443117504
"Current","Sheep","Juvenile Male","Value of Herd Increase",-731400479.387461,484165842.66647,-1870058630.52065,10516715.7099417
"Current","Sheep","Juvenile Male","Value of Manure",110506277.832855,5273601.86088349,101327189.04037,119900316.016821
"Current","Sheep","Juvenile Male","Value of Offtake",0,0,0,0
