"Value","n","Type","Scenario","Species","Parameter"
0.07287242553181,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0730104701915383,17,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0731485148512667,18,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.073286559510995,29,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0734246041707233,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0735626488304517,18,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07370069349018,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0738387381499083,21,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0739767828096367,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.074114827469365,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0742528721290933,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0743909167888217,13,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07452896144855,19,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0746670061082783,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0748050507680067,14,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.074943095427735,12,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0750811400874633,13,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0752191847471917,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07535722940692,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0754952740666483,12,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0756333187263767,13,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.075771363386105,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0759094080458333,12,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0760474527055617,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07618549736529,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0763235420250183,9,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0764615866847466,13,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.076599631344475,12,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0767376760042033,15,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0768757206639316,14,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07701376532366,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0771518099833883,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0772898546431166,7,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.077427899302845,7,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0775659439625733,10,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0777039886223016,11,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.07784203328203,7,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0779800779417583,9,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0781181226014866,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.078256167261215,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
